상가업소번호,상호명,상권업종소분류명,시군구명,행정동명,도로명주소,경도,위도
MA010120220813676406,카페희스밀,카페,유성구,온천2동,대전광역시 유성구 죽동로279번길 80,127.3404239,36.37233791
MA010120220805780330,뮤제,카페,유성구,노은2동,대전광역시 유성구 은구비로 153,127.3256845,36.38117444
MA010120220810405529,정임,카페,유성구,진잠동,대전광역시 유성구 대정로28번안길 25,127.3207702,36.3134102
MA010120220813343033,목련이야기카페,카페,유성구,온천2동,대전광역시 유성구 문화원로38번길 55,127.3417833,36.35955538
MA010120220805404119,엠스토리,카페,유성구,진잠동,대전광역시 유성구 원내로39번길 105,127.3188106,36.30251113
MA0101202301A0014080,컴포즈커피대전,카페,유성구,신성동,대전광역시 유성구 대덕대로 594,127.379024,36.38591046
MA0101202302A0097645,이쁨다방,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로42번길 11-30,127.3391028,36.33752024
MA0101202302A0080441,마실커피,카페,유성구,온천2동,대전광역시 유성구 궁동로18번길 47,127.3499984,36.36287495
MA0101202301A0104248,컴포즈커피대전,카페,유성구,학하동,대전광역시 유성구 학하서로121번길 45-6,127.2987266,36.34945144
MA0101202301A0045897,33블럭,카페,유성구,온천2동,대전광역시 유성구 농대로 31-1,127.3528201,36.36347945
MA0101202302A0010725,소속,카페,유성구,온천2동,대전광역시 유성구 농대로8번길 2,127.3540918,36.36135793
MA0101202302A0111061,학마을사회적협동조합,카페,유성구,학하동,대전광역시 유성구 학하로 33,127.3013557,36.33789174
MA0101202302A0082255,메가엠지씨커피대전,카페,유성구,전민동,대전광역시 유성구 전민로58번길 61,127.4036506,36.39793247
MA0101202301A0072924,엑스트라커피,카페,유성구,관평동,대전광역시 유성구 관평2로 50,127.3883562,36.42244983
MA0101202302A0084310,에브리선데이기프트,카페,유성구,노은1동,대전광역시 유성구 은구비남로 13,127.317068,36.37253735
MA0101202302A0108008,메가엠지씨커피대전,카페,유성구,온천1동,대전광역시 유성구 계룡로 92,127.3404194,36.35339523
MA0101202306A0002625,대전유성경찰서후생복지회,카페,유성구,노은2동,대전광역시 유성구 북유성대로 112,127.3254513,36.37869685
MA0101202306A0010509,아트에스프레소,카페,유성구,온천1동,대전광역시 유성구 유성대로668번길 117,127.3361341,36.35171316
MA010120220809770129,커피상회,카페,유성구,관평동,대전광역시 유성구 관들4길 57,127.3942703,36.42329556
MA010120220814313712,슈가브라운,카페,유성구,관평동,대전광역시 유성구 테크노5로 18,127.3932671,36.43001254
MA010120220807939854,카페올,카페,유성구,전민동,대전광역시 유성구 유성대로1679번길 20,127.3961845,36.4006069
MA010120220806377021,그림이지,카페,유성구,관평동,대전광역시 유성구 테크노중앙로 50,127.39065,36.42627229
MA010120220813938914,데자뷰,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로42번길 19-16,127.3395452,36.33679804
MA010120220805267697,모리스커피,카페,유성구,신성동,대전광역시 유성구 신성남로111번길 25,127.3509559,36.39000643
MA010120220812854168,카페미뇽대전,카페,유성구,온천2동,대전광역시 유성구 죽동로280번길 34,127.337502,36.37180549
MA010120220806352102,이디야커피프렌차이즈,카페,유성구,관평동,대전광역시 유성구 관들4길 34-2,127.393136,36.42391209
MA0101202301A0052217,마릇,카페,유성구,신성동,대전광역시 유성구 가정로89번길 12-1,127.3531677,36.38616093
MA0101202301A0028581,정글비,카페,유성구,관평동,대전광역시 유성구 테크노4로 98-4,127.3896245,36.42633872
MA0101202301A0015015,감성커피둔곡,카페,유성구,구즉동,대전광역시 유성구 과학성장로 80,127.3647372,36.45541673
MA0101202301A0072822,띠울777,카페,유성구,관평동,대전광역시 유성구 테크노5로 72,127.3934488,36.42622705
MA0101202212A0066610,이디야커피,카페,유성구,노은3동,대전광역시 유성구 지족북로66번길 60,127.3079807,36.38814239
MA0101202212A0087301,리플리히,카페,유성구,노은3동,대전광역시 유성구 반석동로 52-16,127.3126216,36.39201439
MA0101202212A0010376,쥬씨,카페,유성구,온천2동,대전광역시 유성구 죽동로297번길 68,127.3390542,36.36997172
MA0101202212A0004737,무인까페24시,카페,유성구,온천1동,대전광역시 유성구 계룡로 47,127.3364059,36.35532611
MA0101202212A0006238,투썸플레이스북대전IC점,카페,유성구,관평동,대전광역시 유성구 대덕대로 1024,127.3803579,36.41949272
MA0101202301A0103118,디저트카페마음,카페,유성구,신성동,대전광역시 유성구 엑스포로151번길 19,127.3953806,36.37615184
MA010120220814337515,리얼케익,카페,유성구,관평동,대전광역시 유성구 테크노4로 94,127.3897802,36.42626612
MA010120220813243557,아람답다,카페,유성구,학하동,대전광역시 유성구 학하서로 73,127.2983607,36.34407232
MA010120220806210637,나무향,카페,유성구,전민동,대전광역시 유성구 전민로10번길 21,127.4038257,36.39730106
MA010120220806208347,펠리쓰팩토리아,카페,유성구,관평동,대전광역시 유성구 관용로 13,127.3792419,36.41700004
MA0101202211A0024861,도밍고,카페,유성구,노은1동,대전광역시 유성구 은구비남로7번길 29,127.3163704,36.37364764
MA0101202211A0002721,쿠라쿠라,카페,유성구,구즉동,대전광역시 유성구 구즉로52번길 31,127.3869596,36.43314216
MA0101202301A0093462,크라운샤이니스,카페,유성구,노은1동,대전광역시 유성구 노은동로 153,127.3223903,36.37419929
MA0101202301A0040168,컴포즈커피대전한빛점,카페,유성구,온천2동,대전광역시 유성구 어은로 57,127.353667,36.363513
MA010120220812293663,빽다방대전,카페,유성구,신성동,대전광역시 유성구 엑스포로123번길 34,127.3939776,36.37636375
MA010120220810090725,더갤러리,카페,유성구,온천2동,대전광역시 유성구 유성대로736번길 62,127.3370319,36.35838834
MA010120220813639083,림카페,카페,유성구,온천2동,대전광역시 유성구 궁동로 47,127.3499592,36.36406462
MA010120220807104223,파스쿠찌,카페,유성구,진잠동,대전광역시 유성구 진잠로92번길 85,127.3204508,36.30065932
MA010120220806245587,한국분석기술연구소,카페,유성구,관평동,대전광역시 유성구 테크노2로 125-7,127.4001937,36.42809708
MA010120220812990017,채움애돈까스,카페,유성구,학하동,대전광역시 유성구 학하중앙로 21,127.2989454,36.34840553
MA010120220803332431,와플몽,카페,유성구,온천2동,대전광역시 유성구 대학로 151,127.3502785,36.36073835
MA010120220804206195,카페노은,카페,유성구,노은1동,대전광역시 유성구 노은서로 101,127.3142691,36.36930953
MA0101202212A0066917,우분투,카페,유성구,구즉동,대전광역시 유성구 구즉로57번길 8-32,127.3858228,36.4355249
MA0101202212A0067637,그랩스커피로스터즈,카페,유성구,신성동,대전광역시 유성구 신성남로 117,127.3516184,36.3910949
MA0101202212A0046596,더노은로,카페,유성구,노은1동,대전광역시 유성구 노은서로 19-2,127.3152467,36.36304379
MA0101202212A0019740,포모,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로42번길 20-17,127.3395386,36.33526606
MA0101202301A0023401,빽다방대전유성,카페,유성구,원신흥동,대전광역시 유성구 계룡로132번길 10,127.3445587,36.35223888
MA0101202211A0096845,소풍,카페,유성구,온천1동,대전광역시 유성구 현충원로347번길 53-6,127.3073264,36.36067631
MA0101202211A0095177,웰커피,카페,유성구,신성동,대전광역시 유성구 신성남로95번길 4,127.3525581,36.38937991
MA0101202211A0006021,아더,카페,유성구,관평동,대전광역시 유성구 관들5길 15-8,127.3923927,36.42244564
MA0101202211A0032164,자운푸드앤커피,카페,유성구,신성동,대전광역시 유성구 자운로 222,127.3542001,36.41471589
MA010120220812937459,프랜즈도넛,카페,유성구,온천2동,대전광역시 유성구 대학로163번길 17,127.351417,36.36119461
MA010120220808312019,수피아,카페,유성구,노은1동,대전광역시 유성구 갑동로15번길 53,127.2865077,36.36215191
MA010120220810116690,칠리프,카페,유성구,온천2동,대전광역시 유성구 어은로57번길 35,127.3546314,36.36240169
MA010120220806350880,마을,카페,유성구,온천2동,대전광역시 유성구 대학로151번길 38,127.3503193,36.36237837
MA010120220806225651,왓어커피,카페,유성구,관평동,대전광역시 유성구 테크노11로 26,127.4086622,36.41620908
MA010120220812181958,봄베이크,카페,유성구,진잠동,대전광역시 유성구 진잠로70번길 44,127.3187156,36.29832088
MA0101202209A0082488,리스터프,카페,유성구,신성동,대전광역시 유성구 신성로72번길 22,127.3491118,36.38887636
MA0101202210A0032139,동방커피,카페,유성구,원신흥동,대전광역시 유성구 원신흥로55번길 6-29,127.3427072,36.33903295
MA0101202210A0026817,예인디저트,카페,유성구,학하동,대전광역시 유성구 학산로 89,127.3001226,36.33584015
MA0101202210A0013092,커피:이,카페,유성구,학하동,대전광역시 유성구 복용북로33번길 16-10,127.3118195,36.34465077
MA0101202210A0067566,커피나인대전,카페,유성구,노은2동,대전광역시 유성구 노은로 154,127.3183972,36.37330882
MA0101202210A0037403,샘,카페,유성구,노은3동,대전광역시 유성구 지족로349번길 48-6,127.3169398,36.38763233
MA010120220803866605,그레이스538,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로42번길 19-35,127.3392488,36.33778117
MA010120220803347629,댄싱베어곰식당까페,카페,유성구,신성동,대전광역시 유성구 엑스포로123번길 26-30,127.3956219,36.37537604
MA010120220802741779,민정도자기전통차,카페,유성구,전민동,대전광역시 유성구 전민로30번길 28,127.4018454,36.39804669
MA010120220808720670,새나에클레시아,카페,유성구,진잠동,대전광역시 유성구 진잠로102번길 97,127.3208084,36.30098278
MA010120220805545763,투썸플레이스,카페,유성구,관평동,대전광역시 유성구 관평2로 20,127.3898848,36.42486898
MA010120220806217756,할리스도안,카페,유성구,원신흥동,대전광역시 유성구 도안대로 560,127.3434945,36.3509082
MA010120220812144565,흥커피로스터스,카페,유성구,신성동,대전광역시 유성구 신성로71번길 63,127.3501399,36.39196437
MA0101202210A0064692,커피를해랑,카페,유성구,원신흥동,대전광역시 유성구 원신흥남로41번길 3-1,127.3379379,36.33600956
MA0101202209A0060532,빽다방대전,카페,유성구,온천2동,대전광역시 유성구 유성대로 776,127.3364873,36.36128264
MA010120220808111041,와치커피한신,카페,유성구,관평동,대전광역시 유성구 테크노3로 65,127.3907769,36.42932682
MA010120220809899560,문지동카페,카페,유성구,전민동,대전광역시 유성구 문지로316번길 54-4,127.4086454,36.39595995
MA010120220814007873,새벽비카페,카페,유성구,진잠동,대전광역시 유성구 도안북로 85-15,127.3376498,36.33120709
